date,market,treatment_arm,wave,treatment_start_day,day_index,post,days_since_treatment,base_price_eur,price_uplift_pct,price_eur,currency,fx_rate,price_local,bookings,revenue_eur,sessions,cr_checkout_to_sale,marketing_spend_eur,ltv_eur,churn_rate,gdp_per_capita,week_of_year,day_of_week,is_weekend
2024-01-01,AT,control,0,0,1,0,0,89.0,0.0,89.0,EUR,0.9974,88.77,117,10413.0,3564,0.0328,49.3,368.27,0.0756,50000,1,0,0
2024-01-02,AT,control,0,0,2,0,0,89.0,0.0,89.0,EUR,1.0088,89.79,126,11214.0,3843,0.0328,47.94,369.19,0.0591,50000,1,1,0
2024-01-03,AT,control,0,0,3,0,0,89.0,0.0,89.0,EUR,1.0211,90.88,140,12460.0,4209,0.0333,40.37,366.75,0.0578,50000,1,2,0
2024-01-04,AT,control,0,0,4,0,0,89.0,0.0,89.0,EUR,0.9968,88.71,136,12104.0,4935,0.0276,48.65,371.71,0.0706,50000,1,3,0
2024-01-05,AT,control,0,0,5,0,0,89.0,0.0,89.0,EUR,0.9965,88.69,134,11926.0,4161,0.0322,45.74,361.01,0.064,50000,1,4,0
2024-01-06,AT,control,0,0,6,0,0,89.0,0.0,89.0,EUR,0.994,88.46,129,11481.0,4215,0.0306,51.5,374.18,0.0662,50000,1,5,1
2024-01-07,AT,control,0,0,7,0,0,89.0,0.0,89.0,EUR,0.9995,88.95,127,11303.0,4415,0.0288,40.97,379.22,0.0632,50000,1,6,1
2024-01-08,AT,control,0,0,8,0,0,89.0,0.0,89.0,EUR,1.0093,89.83,115,10235.0,3043,0.0378,50.13,381.08,0.0661,50000,2,0,0
2024-01-09,AT,control,0,0,9,0,0,89.0,0.0,89.0,EUR,0.9968,88.72,114,10146.0,4094,0.0278,49.98,369.08,0.0619,50000,2,1,0
2024-01-10,AT,control,0,0,10,0,0,89.0,0.0,89.0,EUR,0.9957,88.62,123,10947.0,3652,0.0337,49.92,364.1,0.0772,50000,2,2,0
2024-01-11,AT,control,0,0,11,0,0,89.0,0.0,89.0,EUR,1.0006,89.05,114,10146.0,3524,0.0323,48.11,383.65,0.0682,50000,2,3,0
2024-01-12,AT,control,0,0,12,0,0,89.0,0.0,89.0,EUR,0.9945,88.51,129,11481.0,4254,0.0303,47.7,367.5,0.0564,50000,2,4,0
